epoch,train_loss,dev_loss,sampled_epochs,final_slot_f1,final_slot_p,final_slot_r,final_intent_acc,final_intent_f1
0,3.5287841132708957,2.3672725558280945,0,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
1,1.9785915706838881,1.6775192320346832,1,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
2,1.32863199199949,1.1122214496135712,2,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
3,0.9354075625538826,0.886898934841156,3,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
4,0.7047001274568694,0.7186811938881874,4,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
5,0.5763634351747376,0.5952803641557693,5,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
6,0.45227735862135887,0.5809338018298149,6,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
7,0.35812377269778933,0.4460741989314556,7,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
8,0.2761297627219132,0.4136031847447157,8,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
9,0.22262609308319434,0.3895459044724703,9,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
10,0.19433240092226436,0.37369871139526367,10,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
11,0.16989072082298143,0.37430440820753574,11,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
12,0.13597152126686915,0.30024778842926025,12,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
13,0.12918944491871764,0.32269219495356083,13,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
14,0.10856294400457825,0.29410784132778645,14,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
15,0.07842258072591253,0.28380009811371565,15,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
16,0.06401150696245687,0.28161763213574886,16,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
17,0.05336969858035445,0.2766204159706831,17,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
18,0.05185634149903698,0.2744370987638831,18,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
19,0.04240205494154777,0.277573112398386,19,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
20,0.034938094771600196,0.2795180771499872,20,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
21,0.030275475632931505,0.2843579240143299,21,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
22,0.02675314088618117,0.30242140498012304,22,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
23,0.07856195614274059,0.5053023137152195,23,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
24,0.1104829897039703,0.2883094288408756,24,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
25,0.04117631715323244,0.27622521109879017,25,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
26,0.024027992505580187,0.27414977736771107,26,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
27,0.016915766805011247,0.2818366475403309,27,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
28,0.013901408409167614,0.27511167898774147,28,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
29,0.011922377208247781,0.2871931754052639,29,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
30,0.01046379495777988,0.27977441623806953,30,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
31,0.008857805496414324,0.28979249112308025,31,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
32,0.009196276376522811,0.29570150934159756,32,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
33,0.007732815642209192,0.29695468954741955,33,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
34,0.0068271657160948965,0.3031379394233227,34,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
35,0.006915539113106206,0.30856990069150925,35,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
36,0.01037453224499976,0.32491137832403183,36,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
37,0.03481209130092923,0.3628623392432928,37,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
38,0.11337450987526349,0.34310238249599934,38,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
39,0.03543459113820323,0.24897448532283306,39,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
40,0.011292175502915468,0.26731819193810225,40,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
41,0.0065924930868537296,0.2760184835642576,41,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
42,0.005368880731319743,0.27993680350482464,42,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
43,0.004689633072952607,0.28522258438169956,43,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
44,0.004503507493479576,0.28402470611035824,44,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
45,0.004489027299236373,0.29819570016115904,45,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
46,0.004021953252127527,0.29091386031359434,46,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
47,0.0040713765433922945,0.2991399271413684,47,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
48,0.0034842224999530507,0.30662626773118973,48,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
49,0.0035852971617714503,0.3029280211776495,49,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
50,0.0035163793908265816,0.3141048941761255,50,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
51,0.0036295325663689127,0.31098620407283306,51,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
52,0.003290581281388378,0.31949467305094004,52,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
53,0.0034045264366016326,0.3175517478957772,53,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
54,0.003246079916009746,0.3310768809169531,54,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
55,0.003397994099733686,0.3245284119620919,55,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
56,0.003177175009997362,0.33128817938268185,56,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
57,0.0033878793754930875,0.3193994527682662,57,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
58,0.0189675837919432,0.35040721856057644,58,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
59,0.122125551616773,0.30365920811891556,59,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
60,0.05341448868691389,0.27228374779224396,60,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
61,0.019583401098913912,0.2681482369080186,61,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
62,0.007647734942812738,0.2552250297740102,62,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
63,0.004490656503808818,0.2552145402878523,63,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
64,0.003532410965999588,0.2614993965253234,64,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
65,0.0033885219758043863,0.26255965046584606,65,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
66,0.0032985425920092635,0.2646692590788007,66,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
67,0.0031567034438402127,0.2717166403308511,67,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
68,0.002834471429689854,0.26373326778411865,68,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
69,0.003033831518925061,0.2706325575709343,69,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
70,0.002876246541356003,0.2807918442413211,70,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
71,0.002839450098690577,0.27953162230551243,71,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
72,0.002796567733873547,0.2831868901848793,72,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
73,0.0024809963098959996,0.28694543056190014,73,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
74,0.002814230583732881,0.2830482367426157,74,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
75,0.0028526994305138943,0.288037933409214,75,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
76,0.0027727176484144624,0.2856496050953865,76,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
77,0.0028591845943343026,0.2808644426986575,77,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
78,0.0024886676317172323,0.2873408989980817,78,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
79,0.0034627328870036373,0.2866436718031764,79,0.8972290424412487,0.8928446771378709,0.9016566795911174,0.9339305711086227,0.53370250544612
